2018,03,29,,15:08,,장중,861.94,10.97,+1.29%,755670,4759875,861.94,854.61,
2018,03,30,,14:13,,장중,869.61,3.62,+0.42%,606632,4014058,873.04,867.11,
2018,03,30,,장마감,871.09,5.10,+0.59%,755609,5014390,873.04,867.11,
